file,where,original,updated
/Users/asc/Shopify/TPS RAW V1/sections/instagram-gallery.liquid,schema:settings/3/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/sections/instagram-gallery.liquid,schema:settings/4/label,Dégradé d'arrière-plan,Background gradient
/Users/asc/Shopify/TPS RAW V1/sections/instagram-gallery.liquid,schema:settings/7/label,Légende Image,Caption Image
/Users/asc/Shopify/TPS RAW V1/sections/instagram-gallery.liquid,schema:settings/9/label,Légende Texte,Caption Texte
/Users/asc/Shopify/TPS RAW V1/sections/instagram-gallery.liquid,schema:settings/10/label,Taille de la légende,Caption size
/Users/asc/Shopify/TPS RAW V1/sections/instagram-gallery.liquid,schema:settings/11/label,Couleur de la légende,Caption color
/Users/asc/Shopify/TPS RAW V1/sections/instagram-gallery.liquid,schema:settings/12/label,Titre overlay,Title overlay
/Users/asc/Shopify/TPS RAW V1/sections/instagram-gallery.liquid,schema:settings/14/label,Couleur du titre overlay,Color du titre overlay
/Users/asc/Shopify/TPS RAW V1/sections/instagram-gallery.liquid,schema:settings/15/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/instagram-gallery.liquid,schema:settings/16/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/sections/instagram-gallery.liquid,schema:settings/17/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/instagram-gallery.liquid,schema:settings/19/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/sections/instagram-gallery.liquid,schema:settings/22/default,Suivre @shopiweb,Follow @shopiweb
/Users/asc/Shopify/TPS RAW V1/sections/instagram-gallery.liquid,schema:settings/24/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/sections/instagram-gallery.liquid,schema:settings/29/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/sections/instagram-gallery.liquid,schema:settings/29/options/0/label,Par défaut,Default
/Users/asc/Shopify/TPS RAW V1/sections/external-video.liquid,schema:settings/3/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/sections/external-video.liquid,schema:settings/4/label,Dégradé d'arrière-plan,Background gradient
/Users/asc/Shopify/TPS RAW V1/sections/external-video.liquid,schema:settings/8/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/sections/parallax-image.liquid,schema:settings/16/label,Légende Image,Caption Image
/Users/asc/Shopify/TPS RAW V1/sections/parallax-image.liquid,schema:settings/18/label,Légende Texte,Caption Texte
/Users/asc/Shopify/TPS RAW V1/sections/parallax-image.liquid,schema:settings/19/label,Taille de la légende,Caption size
/Users/asc/Shopify/TPS RAW V1/sections/parallax-image.liquid,schema:settings/20/label,Couleur de la légende,Caption color
/Users/asc/Shopify/TPS RAW V1/sections/parallax-image.liquid,schema:settings/21/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/parallax-image.liquid,schema:settings/22/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/sections/parallax-image.liquid,schema:settings/23/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/parallax-image.liquid,schema:settings/25/label,Couleur du SVG,Color du SVG
/Users/asc/Shopify/TPS RAW V1/sections/discount-bar.liquid,schema:blocks/2/settings/0/default,Livraison gratuite à partir de 100 euros,Shipping gratuite à partir de 100 euros
/Users/asc/Shopify/TPS RAW V1/sections/newsletter-popup.liquid,schema:settings/5/label,Jours d'attente,Days d'attente
/Users/asc/Shopify/TPS RAW V1/sections/newsletter-popup.liquid,schema:settings/6/label,Titre de la popup,Title de la popup
/Users/asc/Shopify/TPS RAW V1/sections/newsletter-popup.liquid,schema:settings/7/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/newsletter-popup.liquid,schema:settings/8/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/template-collection-bundle.liquid,schema:settings/21/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/sections/template-collection-bundle.liquid,schema:settings/23/label,Couleur du bouton 'Ajouter le lot au panier',Color du bouton 'Ajouter le lot au panier'
/Users/asc/Shopify/TPS RAW V1/sections/template-collection-bundle.liquid,schema:settings/24/label,Couleur du bouton 'Afficher le contenu du lot',Color du bouton 'Afficher le contenu du lot'
/Users/asc/Shopify/TPS RAW V1/sections/template-collection-bundle.liquid,schema:settings/26/label,Couleur - Inachevé,Color - Inachevé
/Users/asc/Shopify/TPS RAW V1/sections/template-collection-bundle.liquid,schema:settings/27/label,Couleur - Complété,Color - Complété
/Users/asc/Shopify/TPS RAW V1/sections/template-collection-bundle.liquid,schema:settings/32/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/sections/template-collection-bundle.liquid,schema:blocks/0/settings/2/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/sections/template-collection-bundle.liquid,schema:blocks/0/settings/15/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/template-collection-bundle.liquid,schema:blocks/0/settings/16/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/template-collection-bundle.liquid,schema:blocks/0/settings/17/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/sections/template-collection-bundle.liquid,schema:blocks/1/settings/2/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/sections/template-collection-bundle.liquid,schema:blocks/1/settings/15/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/template-collection-bundle.liquid,schema:blocks/1/settings/16/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/template-collection-bundle.liquid,schema:blocks/1/settings/17/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/sections/multicolumn.liquid,schema:blocks/0/settings/1/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/recently-viewed.liquid,schema:settings/2/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/sections/recently-viewed.liquid,schema:settings/6/label,Légende Image,Caption Image
/Users/asc/Shopify/TPS RAW V1/sections/recently-viewed.liquid,schema:settings/8/label,Légende Texte,Caption Texte
/Users/asc/Shopify/TPS RAW V1/sections/recently-viewed.liquid,schema:settings/9/label,Taille de la légende,Caption size
/Users/asc/Shopify/TPS RAW V1/sections/recently-viewed.liquid,schema:settings/10/label,Couleur de la légende,Caption color
/Users/asc/Shopify/TPS RAW V1/sections/recently-viewed.liquid,schema:settings/11/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/recently-viewed.liquid,schema:settings/12/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/sections/recently-viewed.liquid,schema:settings/13/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/recently-viewed.liquid,schema:settings/14/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/sections/recently-viewed.liquid,schema:settings/16/label,Quantité maximale de produits à afficher,Quantity maximale de produits à afficher
/Users/asc/Shopify/TPS RAW V1/sections/recently-viewed.liquid,schema:settings/20/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/sections/recently-viewed.liquid,schema:settings/22/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/template-collection.liquid,schema:settings/7/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/sections/template-collection.liquid,schema:settings/13/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/template-collection.liquid,schema:settings/21/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/sections/template-collection.liquid,schema:settings/27/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/sections/template-collection.liquid,schema:settings/30/label,Couleur du badge de vente,Color du badge de vente
/Users/asc/Shopify/TPS RAW V1/sections/template-collection.liquid,schema:settings/31/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/template-collection.liquid,schema:blocks/0/settings/2/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/sections/template-collection.liquid,schema:blocks/0/settings/15/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/template-collection.liquid,schema:blocks/0/settings/16/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/template-collection.liquid,schema:blocks/0/settings/17/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/sections/template-collection.liquid,schema:blocks/1/settings/2/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/sections/template-collection.liquid,schema:blocks/1/settings/15/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/template-collection.liquid,schema:blocks/1/settings/16/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/template-collection.liquid,schema:blocks/1/settings/17/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/sections/scrolling-image.liquid,schema:blocks/0/settings/7/options/0/label,Gauche à Droite,Left à Droite
/Users/asc/Shopify/TPS RAW V1/sections/scrolling-image.liquid,schema:blocks/0/settings/7/options/1/label,Droite à Gauche,Droite à Left
/Users/asc/Shopify/TPS RAW V1/sections/featured-collections.liquid,schema:settings/22/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/sections/featured-collections.liquid,schema:settings/28/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/sections/featured-collections.liquid,schema:blocks/0/settings/2/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/sections/featured-collections.liquid,schema:blocks/0/settings/3/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/age-verfication-modal.liquid,schema:settings/14/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/sections/contact-form.liquid,schema:settings/12/label,Titre overlay,Title overlay
/Users/asc/Shopify/TPS RAW V1/sections/contact-form.liquid,schema:settings/15/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/contact-form.liquid,schema:settings/16/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/sections/contact-form.liquid,schema:settings/17/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/contact-form.liquid,schema:blocks/0/settings/1/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/contact-form.liquid,schema:blocks/0/settings/2/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/sections/contact-form.liquid,schema:blocks/0/settings/3/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/video-with-text.liquid,schema:settings/2/info,"Si aucune image n'est sélectionnée, les options de couleur d'arrière-plan ci-dessous seront appliquées.","Si aucune image n'est sélectionnée, les options de color d'arrière-plan ci-dessous seront appliquées."
/Users/asc/Shopify/TPS RAW V1/sections/video-with-text.liquid,schema:settings/14/label,Couleur du fond de la vidéo,Color du fond de la vidéo
/Users/asc/Shopify/TPS RAW V1/sections/video-with-text.liquid,schema:settings/16/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/sections/video-with-text.liquid,schema:settings/25/label,Légende Image,Caption Image
/Users/asc/Shopify/TPS RAW V1/sections/video-with-text.liquid,schema:settings/27/label,Légende Texte,Caption Texte
/Users/asc/Shopify/TPS RAW V1/sections/video-with-text.liquid,schema:settings/28/label,Taille de la légende,Caption size
/Users/asc/Shopify/TPS RAW V1/sections/video-with-text.liquid,schema:settings/30/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/video-with-text.liquid,schema:settings/31/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/sections/video-with-text.liquid,schema:settings/32/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/video-with-text.liquid,schema:settings/44/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/sections/collage-dynamique.liquid,schema:settings/12/label,Légende Image,Caption Image
/Users/asc/Shopify/TPS RAW V1/sections/collage-dynamique.liquid,schema:blocks/5/settings/3/label,Couleur du badge de vente,Color du badge de vente
/Users/asc/Shopify/TPS RAW V1/sections/collage-dynamique.liquid,schema:blocks/5/settings/4/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/sections/collage-dynamique.liquid,schema:blocks/5/settings/5/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/collage-dynamique.liquid,schema:blocks/5/settings/11/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/sections/collage-dynamique.liquid,schema:blocks/6/settings/2/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/collage-dynamique.liquid,schema:blocks/6/settings/6/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/collage-dynamique.liquid,schema:blocks/6/settings/10/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/collage-dynamique.liquid,schema:blocks/6/settings/14/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/collage-dynamique.liquid,schema:blocks/6/settings/18/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/collage-dynamique.liquid,schema:blocks/7/settings/1/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/collage-dynamique.liquid,schema:blocks/7/settings/2/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/sections/collage-dynamique.liquid,schema:blocks/7/settings/3/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/collage-dynamique.liquid,schema:blocks/7/settings/7/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/sections/look-book.liquid,schema:settings/3/label,Dégradé d'arrière-plan,Background gradient
/Users/asc/Shopify/TPS RAW V1/sections/look-book.liquid,schema:settings/19/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:settings/2/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:settings/3/label,Dégradé d'arrière-plan,Background gradient
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:settings/8/label,Légende Image,Caption Image
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:settings/10/label,Légende Texte,Caption Texte
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:settings/11/label,Taille de la légende,Caption size
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:settings/12/label,Couleur de la légende,Caption color
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:settings/13/label,Titre overlay,Title overlay
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:settings/15/label,Couleur du titre overlay,Color du titre overlay
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:settings/16/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:settings/17/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:settings/18/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:settings/19/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:settings/24/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:blocks/0/settings/1/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:blocks/0/settings/2/label,Dégradé d'arrière-plan,Background gradient
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:blocks/0/settings/3/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:blocks/0/settings/3/options/0/label,Par défaut,Default
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:blocks/0/settings/12/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:blocks/0/settings/12/default,Titre de la colonne,Title de la colonne
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:blocks/0/settings/13/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:blocks/0/settings/14/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:blocks/0/settings/20/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/sections/image-with-text.liquid,schema:settings/26/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/image-with-text.liquid,schema:settings/27/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/sections/image-with-text.liquid,schema:settings/28/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/image-with-text.liquid,schema:settings/34/label,Couleur du fondu,Color du fondu
/Users/asc/Shopify/TPS RAW V1/sections/image-with-text.liquid,schema:settings/40/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/sections/mp4-video.liquid,schema:settings/3/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/sections/mp4-video.liquid,schema:settings/9/label,Couleur du fond de la vidéo,Color du fond de la vidéo
/Users/asc/Shopify/TPS RAW V1/sections/mp4-video.liquid,schema:settings/11/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/sections/counter-elite.liquid,schema:settings/3/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/sections/counter-elite.liquid,schema:settings/4/label,Dégradé d'arrière-plan,Background gradient
/Users/asc/Shopify/TPS RAW V1/sections/counter-elite.liquid,schema:blocks/0/settings/2/label,Légende Image,Caption Image
/Users/asc/Shopify/TPS RAW V1/sections/counter-elite.liquid,schema:blocks/0/settings/4/label,Légende Texte,Caption Texte
/Users/asc/Shopify/TPS RAW V1/sections/counter-elite.liquid,schema:blocks/0/settings/5/label,Taille de la légende,Caption size
/Users/asc/Shopify/TPS RAW V1/sections/counter-elite.liquid,schema:blocks/0/settings/6/label,Couleur de la légende,Caption color
/Users/asc/Shopify/TPS RAW V1/sections/counter-elite.liquid,schema:blocks/0/settings/7/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/counter-elite.liquid,schema:blocks/0/settings/8/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/sections/counter-elite.liquid,schema:blocks/0/settings/9/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/counter-elite.liquid,schema:blocks/0/settings/11/label,Couleur du SVG,Color du SVG
/Users/asc/Shopify/TPS RAW V1/sections/counter-elite.liquid,schema:blocks/0/settings/12/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/sections/counter-elite.liquid,schema:blocks/1/settings/6/label,Cacher le compteur une fois terminé,Hide counter when completed
/Users/asc/Shopify/TPS RAW V1/sections/counter-elite.liquid,schema:blocks/1/settings/8/label,Couleur,Color
/Users/asc/Shopify/TPS RAW V1/sections/template-article.liquid,schema:settings/3/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/sections/template-article.liquid,schema:settings/6/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/sections/template-article.liquid,schema:settings/7/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/template-article.liquid,schema:settings/19/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/sections/image-banner-wrapper.liquid,schema:settings/2/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/flip-flap-text.liquid,schema:settings/11/label,Taille de la légende,Caption size
/Users/asc/Shopify/TPS RAW V1/sections/flip-flap-text.liquid,schema:settings/25/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/sections/diaporama_version_finale.liquid,schema:blocks/0/settings/1/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/diaporama_version_finale.liquid,schema:blocks/0/settings/15/label,Couleur du texte,Color du texte
/Users/asc/Shopify/TPS RAW V1/sections/template-tracking.liquid,schema:settings/1/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/sections/template-tracking.liquid,schema:settings/2/label,Dégradé d'arrière-plan,Background gradient
/Users/asc/Shopify/TPS RAW V1/sections/template-tracking.liquid,schema:settings/7/label,Légende Image,Caption Image
/Users/asc/Shopify/TPS RAW V1/sections/template-tracking.liquid,schema:settings/9/label,Légende Texte,Caption Texte
/Users/asc/Shopify/TPS RAW V1/sections/template-tracking.liquid,schema:settings/10/label,Taille de la légende,Caption size
/Users/asc/Shopify/TPS RAW V1/sections/template-tracking.liquid,schema:settings/11/label,Couleur de la légende,Caption color
/Users/asc/Shopify/TPS RAW V1/sections/template-tracking.liquid,schema:settings/12/label,Titre overlay,Title overlay
/Users/asc/Shopify/TPS RAW V1/sections/template-tracking.liquid,schema:settings/14/label,Couleur du titre overlay,Color du titre overlay
/Users/asc/Shopify/TPS RAW V1/sections/template-tracking.liquid,schema:settings/15/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/template-tracking.liquid,schema:settings/16/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/sections/template-tracking.liquid,schema:settings/17/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/template-tracking.liquid,schema:settings/18/label,Description (facultatif),Description (optional)
/Users/asc/Shopify/TPS RAW V1/sections/template-tracking.liquid,schema:settings/20/label,Couleur du bouton,Color du bouton
/Users/asc/Shopify/TPS RAW V1/sections/template-product.liquid,schema:blocks/14/settings/16/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/template-product.liquid,schema:blocks/14/settings/20/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/template-product.liquid,schema:blocks/14/settings/24/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/template-product.liquid,schema:blocks/14/settings/28/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/template-product.liquid,schema:blocks/18/settings/6/label,Couleur,Color
/Users/asc/Shopify/TPS RAW V1/sections/template-product.liquid,schema:blocks/19/settings/8/label,Couleur du compteur,Color du compteur
/Users/asc/Shopify/TPS RAW V1/sections/template-product.liquid,schema:blocks/20/settings/0/content,🏆 Application Estimation Livraison,🏆 Application Estimation Shipping
/Users/asc/Shopify/TPS RAW V1/sections/template-product.liquid,schema:blocks/20/settings/8/label,Couleur des jours,Color des jours
/Users/asc/Shopify/TPS RAW V1/sections/template-product.liquid,schema:blocks/22/settings/4/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/sections/template-product.liquid,schema:blocks/25/settings/9/label,Couleur de Fond (Ouvert),Color de Fond (Ouvert)
/Users/asc/Shopify/TPS RAW V1/sections/template-product.liquid,schema:blocks/25/settings/10/label,Couleur du Titre (Ouvert),Color du Title (Ouvert)
